participant_id,model,sim_acc,ai_acc,hu_acc,ai_auc,hu_auc,epoch
41,densenet161,0.83,0.8,0.72,0.89546875,0.872953869047619,1
41,googlenet,0.88,0.815,0.72,0.8492787265793401,0.872953869047619,1
41,resnet152,0.81,0.76,0.72,0.9076206140350878,0.872953869047619,1
41,vgg19,0.88,0.84,0.72,0.9053199404761905,0.872953869047619,1
42,alexnet,0.7437185929648241,0.6984924623115578,0.6884422110552764,0.8238609112709833,0.7913232870261361,1
42,densenet161,0.8341708542713567,0.8090452261306532,0.6884422110552764,0.8336057535142203,0.7913232870261361,1
42,googlenet,0.8241206030150754,0.7638190954773869,0.6884422110552764,0.8575027995520716,0.7913232870261361,1
42,resnet152,0.8291457286432161,0.7738693467336684,0.6884422110552764,0.9163059163059163,0.7913232870261361,1
42,vgg19,0.8793969849246231,0.8442211055276382,0.6884422110552764,0.8648233486943164,0.7913232870261361,1
43,alexnet,0.835,0.715,0.805,0.8589130168077537,0.8766523331740723,1
43,densenet161,0.895,0.82,0.805,0.8719512195121951,0.8766523331740723,1
43,googlenet,0.87,0.79,0.805,0.8521699819168174,0.8766523331740723,1
43,resnet152,0.85,0.79,0.805,0.8753767329716696,0.8766523331740723,1
43,vgg19,0.88,0.83,0.805,0.8834160170092134,0.8766523331740723,1
44,alexnet,0.885,0.625,0.855,0.8543999999999999,0.9186327888687235,1
44,densenet161,0.905,0.775,0.855,0.8372759856630825,0.9186327888687235,1
44,googlenet,0.885,0.715,0.855,0.8292234081707767,0.9186327888687235,1
44,resnet152,0.905,0.73,0.855,0.8370116692034499,0.9186327888687235,1
44,vgg19,0.89,0.77,0.855,0.891304347826087,0.9186327888687235,1
45,alexnet,0.84,0.7,0.795,0.8234523809523809,0.8617886178861789,1
45,densenet161,0.84,0.755,0.795,0.8798486281929991,0.8617886178861789,1
45,googlenet,0.85,0.76,0.795,0.8366228070175439,0.8617886178861789,1
45,resnet152,0.84,0.755,0.795,0.870252736856332,0.8617886178861789,1
45,vgg19,0.875,0.79,0.795,0.8325798673899939,0.8617886178861789,1
47,alexnet,0.88,0.66,0.85,0.8741087344028521,0.8935294117647059,1
47,densenet161,0.89,0.745,0.85,0.8780102645084878,0.8935294117647059,1
47,googlenet,0.895,0.735,0.85,0.9033500192529842,0.8935294117647059,1
47,resnet152,0.87,0.745,0.85,0.9055138834057114,0.8935294117647059,1
47,vgg19,0.91,0.795,0.85,0.8817303267372296,0.8935294117647059,1
48,alexnet,0.81,0.66,0.765,0.7767379679144385,0.8825615352523988,1
48,densenet161,0.865,0.795,0.765,0.8844914864242982,0.8825615352523988,1
48,googlenet,0.87,0.755,0.765,0.8507906473847818,0.8825615352523988,1
48,resnet152,0.85,0.745,0.765,0.8814317673378076,0.8825615352523988,1
48,vgg19,0.88,0.795,0.765,0.8847982819450837,0.8825615352523988,1
50,alexnet,0.795,0.745,0.705,0.8308988024740097,0.6589734343070079,1
50,densenet161,0.785,0.775,0.705,0.8767025089605734,0.6589734343070079,1
50,googlenet,0.79,0.735,0.705,0.8630471056347065,0.6589734343070079,1
50,resnet152,0.78,0.73,0.705,0.8822932521562659,0.6589734343070079,1
50,vgg19,0.815,0.795,0.705,0.8502837858567266,0.6589734343070079,1
51,alexnet,0.66,0.635,0.59,0.7556897853521735,0.5180859859446052,1
51,densenet161,0.755,0.75,0.59,0.8581333333333334,0.5180859859446052,1
51,googlenet,0.68,0.68,0.59,0.8524816176470589,0.5180859859446052,1
51,resnet152,0.725,0.675,0.59,0.8700854700854701,0.5180859859446052,1
51,vgg19,0.735,0.755,0.59,0.8443032842275984,0.5180859859446052,1
52,alexnet,0.84,0.71,0.79,0.8307430791646431,0.782851115129596,1
52,densenet161,0.85,0.77,0.79,0.9096555618294749,0.782851115129596,1
52,googlenet,0.85,0.755,0.79,0.8561967833491012,0.782851115129596,1
52,resnet152,0.865,0.78,0.79,0.8876748251748251,0.782851115129596,1
52,vgg19,0.885,0.81,0.79,0.8944119558154646,0.782851115129596,1
53,alexnet,0.81,0.665,0.79,0.8294243070362473,0.7444996986136226,1
53,densenet161,0.855,0.8,0.79,0.939375,0.7444996986136226,1
53,googlenet,0.85,0.74,0.79,0.8902027027027027,0.7444996986136226,1
53,resnet152,0.815,0.72,0.79,0.8793402777777778,0.7444996986136226,1
53,vgg19,0.835,0.77,0.79,0.8939864483342743,0.7444996986136226,1
54,alexnet,0.795,0.665,0.785,0.7868926046459431,0.8600207376684935,1
54,densenet161,0.845,0.73,0.785,0.9008117706747845,0.8600207376684935,1
54,googlenet,0.845,0.705,0.785,0.8368794326241135,0.8600207376684935,1
54,resnet152,0.825,0.74,0.785,0.8179573804573805,0.8600207376684935,1
54,vgg19,0.85,0.785,0.785,0.7924751888609095,0.8600207376684935,1
55,alexnet,0.775,0.665,0.745,0.8152844798563573,0.6129095933675484,1
55,densenet161,0.785,0.745,0.745,0.8756415317804975,0.6129095933675484,1
55,googlenet,0.795,0.745,0.745,0.8927490459270957,0.6129095933675484,1
55,resnet152,0.775,0.73,0.745,0.882420091324201,0.6129095933675484,1
55,vgg19,0.815,0.765,0.745,0.885551383674037,0.6129095933675484,1
56,alexnet,0.82,0.68,0.76,0.8552389705882353,0.7458196271929826,1
56,densenet161,0.825,0.8,0.76,0.8367187499999998,0.7458196271929826,1
56,googlenet,0.84,0.735,0.76,0.9228597099217044,0.7458196271929826,1
56,resnet152,0.845,0.8,0.76,0.89375,0.7458196271929826,1
56,vgg19,0.855,0.795,0.76,0.9016720355882805,0.7458196271929826,1
57,alexnet,0.87,0.675,0.845,0.8764672364672366,0.9060889482725711,1
57,densenet161,0.875,0.75,0.845,0.8923999999999999,0.9060889482725711,1
57,googlenet,0.88,0.755,0.845,0.8398432220570348,0.9060889482725711,1
57,resnet152,0.885,0.75,0.845,0.8513333333333333,0.9060889482725711,1
57,vgg19,0.875,0.8,0.845,0.82109375,0.9060889482725711,1
58,alexnet,0.79,0.655,0.73,0.8420179223365416,0.8822932521562659,1
58,densenet161,0.835,0.775,0.73,0.8755555555555555,0.8822932521562659,1
58,googlenet,0.825,0.745,0.73,0.8327411501513358,0.8822932521562659,1
58,resnet152,0.825,0.75,0.73,0.8406666666666667,0.8822932521562659,1
58,vgg19,0.845,0.79,0.73,0.876130198915009,0.8822932521562659,1
59,alexnet,0.875,0.735,0.815,0.7844949300474907,0.8875808323661085,1
59,densenet161,0.885,0.825,0.815,0.8372294372294371,0.8875808323661085,1
59,googlenet,0.87,0.78,0.815,0.8945221445221445,0.8875808323661085,1
59,resnet152,0.875,0.78,0.815,0.9261363636363636,0.8875808323661085,1
59,vgg19,0.895,0.825,0.815,0.8704761904761904,0.8875808323661085,1
60,alexnet,0.81,0.7,0.695,0.8372619047619048,0.7155324920391556,1
60,densenet161,0.775,0.75,0.695,0.8758666666666667,0.7155324920391556,1
60,googlenet,0.835,0.76,0.695,0.9092653508771931,0.7155324920391556,1
60,resnet152,0.8,0.75,0.695,0.8987999999999999,0.7155324920391556,1
60,vgg19,0.82,0.785,0.695,0.9081617538142498,0.7155324920391556,1
61,alexnet,0.845,0.71,0.835,0.8468916949975717,0.6616766467065869,1
61,densenet161,0.855,0.76,0.835,0.9203673245614035,0.6616766467065869,1
61,googlenet,0.87,0.81,0.835,0.886127355425601,0.6616766467065869,1
61,resnet152,0.865,0.78,0.835,0.906614219114219,0.6616766467065869,1
61,vgg19,0.88,0.795,0.835,0.9093419236079153,0.6616766467065869,1
62,alexnet,0.805,0.64,0.755,0.8478732638888888,0.8240978510609541,1
62,densenet161,0.82,0.725,0.755,0.8927899686520376,0.8240978510609541,1
62,googlenet,0.79,0.675,0.755,0.8266666666666665,0.8240978510609541,1
62,resnet152,0.795,0.735,0.755,0.8579129765113592,0.8240978510609541,1
62,vgg19,0.84,0.75,0.755,0.9054666666666668,0.8240978510609541,1
63,alexnet,0.875,0.74,0.885,0.8341995841995842,0.8560550233357898,1
63,densenet161,0.89,0.845,0.885,0.9047528154227906,0.8560550233357898,1
63,googlenet,0.89,0.755,0.885,0.8626841465062848,0.8560550233357898,1
63,resnet152,0.88,0.785,0.885,0.9035698415049622,0.8560550233357898,1
63,vgg19,0.915,0.81,0.885,0.8801169590643276,0.8560550233357898,1
64,alexnet,0.875,0.64,0.85,0.8475477430555556,0.8984313725490196,1
64,densenet161,0.87,0.775,0.85,0.8216487455197133,0.8984313725490196,1
64,googlenet,0.905,0.77,0.85,0.8383681535855448,0.8984313725490196,1
64,resnet152,0.855,0.73,0.85,0.9095636732623035,0.8984313725490196,1
64,vgg19,0.925,0.81,0.85,0.8466536712150747,0.8984313725490196,1
66,alexnet,0.795,0.67,0.7,0.8262098597919494,0.8837499999999999,1
66,densenet161,0.83,0.75,0.7,0.8832,0.8837499999999999,1
66,googlenet,0.845,0.74,0.7,0.8805873180873182,0.8837499999999999,1
66,resnet152,0.805,0.74,0.7,0.8649948024948024,0.8837499999999999,1
66,vgg19,0.87,0.805,0.7,0.8915432393693263,0.8837499999999999,1
67,alexnet,0.795,0.675,0.79,0.8059259259259259,0.8577456298975286,1
67,densenet161,0.83,0.765,0.79,0.8602419691280768,0.8577456298975286,1
67,googlenet,0.85,0.735,0.79,0.8523937877037607,0.8577456298975286,1
67,resnet152,0.84,0.775,0.79,0.8599283154121864,0.8577456298975286,1
67,vgg19,0.865,0.81,0.79,0.8300844704353475,0.8577456298975286,1
68,alexnet,0.795,0.685,0.77,0.8235430425211447,0.7971485036702428,1
68,densenet161,0.855,0.745,0.77,0.8455059876299512,0.7971485036702428,1
68,googlenet,0.82,0.71,0.77,0.865711510441962,0.7971485036702428,1
68,resnet152,0.835,0.72,0.77,0.8261408730158729,0.7971485036702428,1
68,vgg19,0.85,0.76,0.77,0.8628015350877192,0.7971485036702428,1
69,alexnet,0.855,0.67,0.815,0.8943916779737675,0.9100480848947108,1
69,densenet161,0.865,0.76,0.815,0.9041940789473684,0.9100480848947108,1
69,googlenet,0.86,0.73,0.815,0.8723997970573312,0.9100480848947108,1
69,resnet152,0.845,0.71,0.815,0.843249150072851,0.9100480848947108,1
69,vgg19,0.855,0.76,0.815,0.8209978070175439,0.9100480848947108,1
70,alexnet,0.895,0.685,0.875,0.862240760050979,0.8963428571428571,1
70,densenet161,0.91,0.78,0.875,0.8757284382284383,0.8963428571428571,1
70,googlenet,0.905,0.795,0.875,0.8113207547169812,0.8963428571428571,1
70,resnet152,0.895,0.725,0.875,0.8801253918495296,0.8963428571428571,1
70,vgg19,0.925,0.805,0.875,0.8842172320433191,0.8963428571428571,1
71,alexnet,0.865,0.67,0.835,0.814111261872456,0.8869533659952822,1
71,densenet161,0.875,0.775,0.835,0.9000716845878136,0.8869533659952822,1
71,googlenet,0.86,0.74,0.835,0.8488825363825363,0.8869533659952822,1
71,resnet152,0.865,0.74,0.835,0.8711018711018711,0.8869533659952822,1
71,vgg19,0.875,0.78,0.835,0.872960372960373,0.8869533659952822,1
72,alexnet,0.86,0.665,0.82,0.8095612164740209,0.9469850948509486,1
72,densenet161,0.905,0.81,0.82,0.8708576998050681,0.9469850948509486,1
72,googlenet,0.89,0.745,0.82,0.8569548624819056,0.9469850948509486,1
72,resnet152,0.885,0.765,0.82,0.9039076623557224,0.9469850948509486,1
72,vgg19,0.91,0.835,0.82,0.8664489203411359,0.9469850948509486,1
73,alexnet,0.815,0.675,0.77,0.794074074074074,0.8420383963862225,1
73,densenet161,0.815,0.715,0.77,0.8580542264752792,0.8420383963862225,1
73,googlenet,0.8,0.685,0.77,0.8251651025373654,0.8420383963862225,1
73,resnet152,0.8,0.72,0.77,0.8392857142857143,0.8420383963862225,1
73,vgg19,0.83,0.77,0.77,0.8464144551101073,0.8420383963862225,1
74,alexnet,0.815,0.645,0.795,0.8162463150999018,0.8812701334560515,1
74,densenet161,0.825,0.755,0.795,0.8643059872955805,0.8812701334560515,1
74,googlenet,0.825,0.69,0.795,0.907667134174848,0.8812701334560515,1
74,resnet152,0.82,0.695,0.795,0.8799386720132091,0.8812701334560515,1
74,vgg19,0.835,0.745,0.795,0.8645874457165416,0.8812701334560515,1
75,alexnet,0.875,0.715,0.835,0.8449270028217396,0.9878424968245328,1
75,densenet161,0.895,0.785,0.835,0.9102355206636055,0.9878424968245328,1
75,googlenet,0.905,0.775,0.835,0.8744086021505377,0.9878424968245328,1
75,resnet152,0.885,0.765,0.835,0.8877763871506049,0.9878424968245328,1
75,vgg19,0.895,0.8,0.835,0.9006249999999999,0.9878424968245328,1
76,alexnet,0.795,0.72,0.72,0.824156746031746,0.8715277777777777,1
76,densenet161,0.83,0.8,0.72,0.858125,0.8715277777777777,1
76,googlenet,0.845,0.785,0.72,0.8419493408383945,0.8715277777777777,1
76,resnet152,0.83,0.795,0.72,0.8772817916858414,0.8715277777777777,1
76,vgg19,0.895,0.855,0.72,0.8590441621294616,0.8715277777777777,1
78,alexnet,0.785,0.705,0.71,0.8446928717393918,0.8233972802331229,1
78,densenet161,0.805,0.805,0.71,0.8574613792005097,0.8233972802331229,1
78,googlenet,0.8,0.77,0.71,0.8481084133258047,0.8233972802331229,1
78,resnet152,0.795,0.75,0.71,0.8530666666666666,0.8233972802331229,1
78,vgg19,0.825,0.805,0.71,0.8625577321229494,0.8233972802331229,1
79,alexnet,0.84,0.695,0.8,0.7596414671541456,0.855859375,1
79,densenet161,0.85,0.74,0.8,0.8760395010395011,0.855859375,1
79,googlenet,0.87,0.74,0.8,0.8410862785862786,0.855859375,1
79,resnet152,0.845,0.73,0.8,0.8636478944698123,0.855859375,1
79,vgg19,0.905,0.82,0.8,0.872120596205962,0.855859375,1
80,alexnet,0.84,0.745,0.785,0.8331359389393341,0.8226929343800918,1
80,densenet161,0.815,0.735,0.785,0.849441663457836,0.8226929343800918,1
80,googlenet,0.85,0.725,0.785,0.8416300940438871,0.8226929343800918,1
80,resnet152,0.87,0.765,0.785,0.8638575997774997,0.8226929343800918,1
80,vgg19,0.815,0.77,0.785,0.8359683794466404,0.8226929343800918,1
81,alexnet,0.885,0.655,0.87,0.8263082199358335,0.9026304155614501,1
81,densenet161,0.905,0.8,0.87,0.8693749999999999,0.9026304155614501,1
81,googlenet,0.9,0.71,0.87,0.8348712967459933,0.9026304155614501,1
81,resnet152,0.895,0.755,0.87,0.838897148263279,0.9026304155614501,1
81,vgg19,0.93,0.815,0.87,0.8351848781296634,0.9026304155614501,1
82,alexnet,0.905,0.66,0.905,0.8326648841354723,0.9322477464379179,1
82,densenet161,0.935,0.75,0.905,0.8896,0.9322477464379179,1
